objid,u,g,r,i,z,class,redshift
1237662238024008034,18.04201,16.33626,15.55545,15.11244,14.74457,GALAXY,0.03425834
1237655472897654834,19.05402,18.14878,17.80034,17.65786,17.62256,STAR,-0.0006316393
1237659326032380337,19.26462,18.87212,18.83518,18.77308,18.62718,QSO,2.194126
1237659153682399452,19.00602,17.82656,17.95776,18.08562,18.19984,STAR,-0.001022933
1237662640121577498,19.01212,18.03303,17.73749,17.60492,17.55672,STAR,-0.0001407616
1237665372258697307,19.1304,17.23657,16.33834,15.86872,15.46856,GALAXY,0.03596619
1237665534929928436,19.31074,19.05623,18.60776,18.1871,18.12079,QSO,0.2288609
1237661386008822218,19.58533,18.2958,17.583,17.17414,16.89665,GALAXY,0.1337318
1237662224625566102,19.27963,18.12554,17.67691,17.50713,17.42145,STAR,-0.0002331292
1237662636909396273,19.44449,17.4091,16.57381,16.44971,16.05686,STAR,-0.0001790152
1237665355080794198,18.573,18.47914,18.51798,18.32985,18.30638,QSO,1.700665
1237655502960788011,18.87604,16.96712,15.97885,15.54945,15.19478,GALAXY,0.1065936
1237655374113407073,18.2237,17.29917,16.95088,16.73458,16.55166,GALAXY,0.03184506
1237651736853545443,18.98802,16.86595,15.86645,15.41616,15.03815,GALAXY,0.09175304
1237662500010000477,17.87331,16.70943,16.87343,17.01076,17.1063,STAR,-0.0005661882
1237659162816348348,17.66939,16.59242,16.18513,16.40059,15.98258,STAR,-0.0004247254
1237668349754671419,18.39755,16.94573,16.29809,15.90762,15.59176,GALAXY,0.04346794
1237662306200649807,18.14208,17.35759,16.98938,16.52456,16.44837,GALAXY,0.08844519
1237666244670325742,18.2667,17.01946,16.7197,16.47657,16.45487,STAR,7.356211E-06
1237665371721760810,18.32944,18.03908,18.10584,18.23749,18.19204,QSO,0.7386975
1237662619189379165,18.27904,17.21045,16.80164,16.64759,16.59953,STAR,-0.0008401402
1237662695964016931,18.78475,17.5056,17.06182,16.75714,16.58856,GALAXY,0.06371865
1237659162816348204,17.63773,16.33655,15.8527,15.68837,15.61295,STAR,-0.0001977403
1237662300837380229,18.83596,18.89933,18.86665,18.72337,18.64944,QSO,1.979723
1237668354038628568,18.73931,16.9861,16.15309,15.74357,15.44446,GALAXY,0.1344471
1237665372795502891,17.89326,16.4376,15.86466,15.5843,15.42869,GALAXY,0.03646658
1237662200433410274,19.36981,18.4829,17.78679,17.3189,17.06521,GALAXY,0.138919
1237668366922481688,18.20671,17.20613,17.2263,16.71189,16.6152,STAR,-0.000300056
1237662337867907409,18.90182,16.84319,15.82942,15.36491,15.01083,GALAXY,0.09916166
1237667783929299168,19.26529,19.11032,19.00675,19.10171,19.05929,QSO,0.9125507
1237665536003604747,19.3684,18.22034,17.67963,17.34656,17.1493,GALAXY,0.05801094
1237665428643774743,19.43327,18.12073,17.46057,17.07844,16.76647,GALAXY,0.09400566
1237662640121447055,19.19722,18.03581,17.60596,17.36556,17.16811,GALAXY,0.04572158
1237665355080859881,18.40745,17.46526,17.09874,16.93093,16.88308,STAR,-0.0007483386
1237655469674266649,15.04914,15.09711,15.51908,15.81448,16.10172,STAR,-0.00010167
1237659330318238172,19.19018,17.90462,17.18435,16.81024,16.55839,GALAXY,0.1111059
1237662301911122111,17.55405,16.66141,16.44259,16.35632,16.33144,STAR,-0.0003451104
1237661465990463860,18.92819,16.83676,15.8217,15.35273,15.03298,GALAXY,0.09627286
1237661465990463883,18.73752,17.3161,16.46975,15.94691,15.62973,GALAXY,0.08952045
1237662662143639968,17.73976,16.50962,15.9122,15.62002,15.35513,GALAXY,0.03120337
1237655468600459620,17.9261,15.86753,14.91489,14.46739,14.13311,GALAXY,0.07386395
1237655130380632346,19.07355,17.94369,17.52735,17.21308,17.05602,GALAXY,0.06084362
1237662303521800266,18.21756,17.06189,16.52585,16.20313,16.03649,GALAXY,0.05914443
1237661463306043596,19.03526,17.22856,16.23725,15.71778,15.32109,GALAXY,0.1054123
1237668272448864680,19.46603,19.36549,19.16151,19.14794,19.06217,GALAXY,0
1237662263250714914,18.98972,17.99174,17.64851,17.3607,17.27622,GALAXY,0.09967127
1237665536003604518,18.53079,16.75636,15.92768,15.54675,15.22329,GALAXY,0.05781062
1237666429891511281,17.82294,16.613,16.01572,15.98068,15.7938,STAR,-3.00407E-05
1237655474508202011,18.1905,17.44275,17.554,17.12631,17.32905,GALAXY,0.06995227
1237668270838186130,17.6899,16.69466,16.40141,16.29224,16.20084,GALAXY,0.009007892
1237662701872021673,19.05611,18.56723,18.45174,18.38578,18.11943,QSO,2.248139
1237662267002192074,19.02266,17.18578,16.21037,15.78617,15.43901,GALAXY,0.1142629
1237662264324391113,19.35746,17.62092,16.81695,16.41697,16.14613,GALAXY,0.04538655
1237668366385414317,18.3304,18.23298,18.19766,18.03804,17.90751,QSO,1.939694
